PERMNO	date	COMNAM	RET
49154	2/23/2023	TARGET CORP	-0.001328
49154	2/24/2023	TARGET CORP	0.008822
49154	2/27/2023	TARGET CORP	-0.000898
49154	2/28/2023	TARGET CORP	0.010131
49154	3/1/2023	TARGET CORP	-0.036202
49154	3/2/2023	TARGET CORP	0.021798
49154	3/3/2023	TARGET CORP	0.000362
49154	3/6/2023	TARGET CORP	-0.004819
49154	3/7/2023	TARGET CORP	-0.014407
49154	3/8/2023	TARGET CORP	0.004238
49154	3/9/2023	TARGET CORP	-0.017552
49154	3/10/2023	TARGET CORP	-0.015314
49154	3/13/2023	TARGET CORP	-0.001644
49154	3/14/2023	TARGET CORP	0.00285
49154	3/15/2023	TARGET CORP	0.004799
49154	3/16/2023	TARGET CORP	0.024634
49154	3/17/2023	TARGET CORP	-0.022631
49154	3/20/2023	TARGET CORP	0.024347
49154	3/21/2023	TARGET CORP	-0.003247
49154	3/22/2023	TARGET CORP	-0.032205
49154	3/23/2023	TARGET CORP	-0.008573
49154	3/24/2023	TARGET CORP	0.000641
49154	3/27/2023	TARGET CORP	0.020228
49154	3/28/2023	TARGET CORP	0.002447
49154	3/29/2023	TARGET CORP	-0.01039
49154	3/30/2023	TARGET CORP	0.013661
49154	3/31/2023	TARGET CORP	0.033444
49154	4/3/2023	TARGET CORP	0.002596
49154	4/4/2023	TARGET CORP	-0.00006
49154	4/5/2023	TARGET CORP	-0.004878
49154	4/6/2023	TARGET CORP	0.002058
49154	4/10/2023	TARGET CORP	0.020655
49154	4/11/2023	TARGET CORP	0.003432
49154	4/12/2023	TARGET CORP	-0.035794
49154	4/13/2023	TARGET CORP	-0.001468
49154	4/14/2023	TARGET CORP	-0.013903
49154	4/17/2023	TARGET CORP	0.010559
49154	4/18/2023	TARGET CORP	-0.001844
49154	4/19/2023	TARGET CORP	0.000677
49154	4/20/2023	TARGET CORP	-0.013722
49154	4/21/2023	TARGET CORP	0.011854
49154	4/24/2023	TARGET CORP	0.010852
49154	4/25/2023	TARGET CORP	-0.038612
49154	4/26/2023	TARGET CORP	-0.013705
49154	4/27/2023	TARGET CORP	0.017369
49154	4/28/2023	TARGET CORP	-0.002529
49154	5/1/2023	TARGET CORP	-0.003994
49154	5/2/2023	TARGET CORP	-0.00891
49154	5/3/2023	TARGET CORP	-0.007385
49154	5/4/2023	TARGET CORP	-0.013198
49154	5/5/2023	TARGET CORP	0.024716
49154	5/8/2023	TARGET CORP	0.00128
49154	5/9/2023	TARGET CORP	0.005879
