,ME1_BM1,ME1_BM2,ME1_BM3,ME1_BM4,ME1_BM5,,,,,,,,,,
193507,0.093935242,0.205740659,0.216111189,0.141469165,0.101275846,,,,,,,,0.019326299,,
193508,0.060531242,-0.011960341,0.150043189,0.127846165,0.182884846,,,,,,,,-0.000723974,,
193509,-0.099645758,0.189555659,0.003271189,0.067333165,-0.071057154,,,,,,,,-0.018888417,,
193510,0.109931242,-0.028321341,0.094479189,0.119815165,0.029215846,,,,,,,,-0.0031134,,
193511,0.338118242,0.063059659,0.332769189,0.185189165,0.425317846,,,,,,,,0.021321621,,
193512,0.084814242,-0.021661341,-0.006131811,0.032942165,-0.008638154,,,,,,,,-0.00183719,,
193601,0.239061242,0.353557659,0.123608189,0.179060165,0.340052846,,,,,,,,0.084521933,,
193602,0.109245242,-0.058415341,0.151709189,0.089270165,0.054840846,,,,,,,,-0.006381598,,
193603,0.086918242,-0.029582341,0.030135189,0.020396165,-0.016485154,,,,,,,,-0.002571245,,
193604,-0.292928758,-0.263595341,-0.143110811,-0.152895835,-0.239035154,,,,,,,,0.077214656,,
193605,0.011492242,-0.036778341,0.019538189,0.069445165,0.048578846,,,,,,,,-0.000422666,,
193606,-0.011190758,0.013939659,-0.033601811,-0.037343835,-0.032667154,,,,,,,,-0.000155995,,
193607,-0.014081758,-0.029182341,0.136456189,0.076204165,0.065645846,,,,,,,,0.000410939,,
193608,-0.043880758,-0.050669341,0.046964189,0.026626165,0.002865846,,,,,,,,0.002223409,,
193609,-0.019428758,0.078882659,0.009044189,0.055311165,0.041770846,,,,,,,,-0.001532592,,
193610,0.126705242,0.069996659,0.046883189,0.079523165,0.064130846,,,,,,,,0.008868944,,
193611,0.090148242,0.182636659,0.080600189,0.120457165,0.110081846,,,,,,,,0.016464374,,
193612,-0.046907758,0.001695659,0.030009189,-0.023596835,0.019928846,,,,,,,,-7.95E-05,,
193701,0.141305242,0.034115659,0.193829189,0.085441165,0.097114846,,,,,,,,0.004820721,,
193702,-0.112846758,0.247247659,-0.103584811,0.078411165,0.087251846,,,,,,,,-0.027901097,,
193703,-0.107540758,-0.177841341,0.055266189,-0.023511835,0.024945846,,,,,,,,0.019125193,,
193704,-0.203990758,-0.211162341,-0.196575811,-0.146436835,-0.196139154,,,,,,,,0.043075166,,
193705,-0.062440758,-0.147380341,-0.032390811,-0.019562835,-0.053898154,,,,,,,,0.00920254,,
193706,-0.132210758,-0.075148341,-0.166250811,-0.111184835,-0.154874154,,,,,,,,0.009935419,,
193707,0.129663242,0.107158659,0.122942189,0.102495165,0.094961846,,,,,,,,0.013894539,,
193708,-0.056479758,-0.102941341,-0.115011811,-0.065139835,-0.080635154,,,,,,,,0.005814102,,
193709,-0.236295758,-0.298923341,-0.239158811,-0.234660835,-0.248500154,,,,,,,,0.070634318,,
193710,-0.083495758,-0.093852341,-0.109337811,-0.098813835,-0.096203154,,,,,,,,0.007836272,,
193711,-0.023325758,-0.133810341,-0.157938811,-0.148622835,-0.180864154,,,,,,,,0.003121228,,
193712,-0.198815758,-0.210827341,-0.213094811,-0.126640835,-0.142579154,,,,,,,,0.041915798,,
193801,0.078250242,0.057108659,0.132454189,0.046698165,0.038216846,,,,,,,,0.004468766,,
193802,0.032655242,0.011934659,0.019648189,0.029799165,-0.015857154,,,,,,,,0.000389729,,
193803,-0.262421758,-0.340519341,-0.347605811,-0.348446835,-0.331593154,,,,,,,,0.089359684,,
193804,0.206874242,0.277567659,0.215021189,0.224043165,0.189367846,,,,,,,,0.057421599,,
193805,-0.121622758,-0.146543341,-0.104047811,-0.077315835,-0.073708154,,,,,,,,0.017823005,,
193806,0.300533242,0.387128659,0.358504189,0.303651165,0.248673846,,,,,,,,0.116345031,,
193807,0.215152242,0.025825659,0.261136189,0.138231165,0.144859846,,,,,,,,0.005556448,,
193808,-0.099647758,-0.175309341,-0.028678811,-0.088945835,-0.145196154,,,,,,,,0.017469183,,
193809,-0.074195758,-0.000772341,-0.079775811,-0.042992835,-0.051767154,,,,,,,,5.73E-05,,
193810,0.092375242,0.028951659,0.180137189,0.152689165,0.128937846,,,,,,,,0.002674417,,
193811,-0.077448758,-0.078069341,-0.119669811,-0.022687835,-0.083090154,,,,,,,,0.006046374,,
193812,0.038830242,0.025340659,-0.032438811,-0.030541835,-0.046585154,,,,,,,,0.000983984,,
193901,-0.100960758,-0.012166341,-0.103225811,-0.096085835,-0.097011154,,,,,,,,0.001228323,,
193902,0.005161242,-0.016058341,0.025675189,-0.000547835,0.048673846,,,,,,,,-8.29E-05,,
193903,-0.304123758,-0.233983341,-0.233408811,-0.218089835,-0.224107154,,,,,,,,0.071159893,,
193904,0.037136242,-0.035969341,0.009466189,-0.011968835,0.021121846,,,,,,,,-0.001335766,,
193905,0.053388242,0.029504659,0.068264189,0.061617165,0.056821846,,,,,,,,0.001575202,,
193906,-0.111060758,-0.155114341,-0.140635811,-0.126096835,-0.142932154,,,,,,,,0.017227116,,
193907,0.104304242,0.230370659,0.198241189,0.124535165,0.104411846,,,,,,,,0.024028637,,
193908,-0.141845758,-0.201830341,-0.168775811,-0.163576835,-0.132616154,,,,,,,,0.028628778,,
193909,1.126155242,0.396123659,0.659673189,0.489769165,0.843940846,,,,,,,,0.446096735,,
193910,-0.088600758,-0.078780341,-0.053328811,-0.073445835,-0.109594154,,,,,,,,0.006979998,,
193911,-0.199084758,-0.114398341,-0.141816811,-0.121658835,-0.196489154,,,,,,,,0.022774966,,
193912,0.128818242,-0.052489341,-0.003909811,0.003613165,-0.037033154,,,,,,,,-0.006761585,,
194001,-0.018050758,-0.094246341,-0.086041811,-0.057644835,-0.051090154,,,,,,,,0.001701218,,
194002,0.003655242,-0.004889341,0.110176189,0.018175165,0.071612846,,,,,,,,-1.79E-05,,
194003,0.068202242,0.039779659,-0.071875811,-0.008608835,0.018894846,,,,,,,,0.002713062,,
194004,0.196751242,-0.020121341,0.017600189,0.031136165,0.064068846,,,,,,,,-0.003958899,,
194005,-0.497210758,-0.286995341,-0.355665811,-0.300857835,-0.347133154,,,,,,,,0.142697171,,
194006,0.084161242,0.014095659,0.034250189,0.011910165,0.057002846,,,,,,,,0.001186308,,
194007,0.029297242,0.014637659,-0.012089811,-0.001658835,0.020777846,,,,,,,,0.000428843,,
194008,-0.019569758,-0.024164341,0.039880189,0.027313165,-0.027671154,,,,,,,,0.00047289,,
194009,0.020727242,0.026128659,0.063287189,0.024491165,0.028531846,,,,,,,,0.000541575,,
194010,0.062869242,0.047537659,0.057748189,0.049294165,0.038453846,,,,,,,,0.002988657,,
194011,0.075216242,-0.023428341,0.029510189,-0.025480835,-0.014483154,,,,,,,,-0.001762192,,
194012,-0.020036758,-0.063954341,-0.087143811,-0.033539835,-0.057553154,,,,,,,,0.001281438,,
194101,-0.094536758,-0.066216341,-0.042882811,-0.013508835,-0.010222154,,,,,,,,0.006259878,,
194102,-0.084671758,-0.039264341,-0.012832811,-0.057811835,-0.043547154,,,,,,,,0.003324581,,
194103,-0.023807758,-0.041137341,-0.022802811,0.007183165,0.025683846,,,,,,,,0.000979388,,
194104,-0.164650758,-0.138659341,-0.080731811,-0.063605835,-0.058484154,,,,,,,,0.022830366,,
194105,-0.015138758,0.026383659,-0.016389811,0.000886165,-0.028630154,,,,,,,,-0.000399416,,
194106,0.024232242,-0.016726341,0.078059189,0.066943165,0.123973846,,,,,,,,-0.000405317,,
194107,0.162878242,0.242560659,0.265931189,0.162504165,0.235577846,,,,,,,,0.039507854,,
194108,0.016674242,-0.013510341,-0.087688811,-0.044095835,-0.008075154,,,,,,,,-0.000225275,,
194109,-0.126294758,-0.045733341,-0.055192811,-0.041839835,-0.066962154,,,,,,,,0.005775881,,
194110,-0.095281758,-0.012318341,-0.092173811,-0.086827835,-0.095578154,,,,,,,,0.001173713,,
194111,-0.112162758,-0.066566341,-0.093609811,-0.057482835,-0.058971154,,,,,,,,0.007466264,,
194112,-0.193694758,-0.204969341,-0.099299811,-0.159520835,-0.162086154,,,,,,,,0.039701487,,
194201,0.337492242,0.120726659,0.149798189,0.191945165,0.240337846,,,,,,,,0.040744311,,
194202,-0.076011758,-0.095351341,-0.032643811,-0.010838835,-0.041419154,,,,,,,,0.007247823,,
194203,-0.085446758,-0.080532341,-0.078807811,-0.022793835,-0.081395154,,,,,,,,0.006881227,,
194204,-0.059537758,-0.048960341,-0.052059811,-0.055624835,-0.063670154,,,,,,,,0.002914989,,
194205,-0.067966758,-0.003853341,0.003743189,-0.049704835,-0.012957154,,,,,,,,0.000261899,,
194206,0.023227242,8.66591E-05,-0.026262811,0.031807165,0.019463846,,,,,,,,2.01E-06,,
194207,0.052451242,0.053123659,0.066601189,0.009427165,0.061653846,,,,,,,,0.002786402,,
194208,0.002601242,0.048052659,0.006000189,0.005428165,-0.004491154,,,,,,,,0.000124997,,
194209,0.060147242,0.071686659,0.004026189,0.067872165,0.074697846,,,,,,,,0.004311755,,
194210,0.006337242,0.106473659,0.148632189,0.077392165,0.104115846,,,,,,,,0.000674749,,
194211,0.078049242,-0.005851341,-0.084710811,-0.025254835,-0.075905154,,,,,,,,-0.000456693,,
194212,-0.055298758,-0.043554341,0.019566189,-0.022767835,-0.026483154,,,,,,,,0.002408501,,
194301,0.313113242,0.224102659,0.202194189,0.192498165,0.310049846,,,,,,,,0.07016951,,
194302,0.162728242,0.167553659,0.108540189,0.164005165,0.252716846,,,,,,,,0.027265712,,
194303,0.200583242,-0.001239341,0.151110189,0.145001165,0.135724846,,,,,,,,-0.000248591,,
194304,0.048821242,0.012764659,-0.002421811,0.034065165,0.101727846,,,,,,,,0.000623187,,
194305,0.049633242,0.072526659,0.117616189,0.092510165,0.133498846,,,,,,,,0.003599733,,
194306,0.001237242,-0.001788341,-0.019334811,0.014482165,-0.035040154,,,,,,,,-2.21E-06,,
194307,-0.173210758,-0.007318341,-0.092745811,-0.073438835,-0.094369154,,,,,,,,0.001267615,,
194308,-0.075098758,-0.050958341,-0.017696811,-0.026443835,-0.024600154,,,,,,,,0.003826908,,
194309,0.076379242,0.011263659,0.015492189,0.018455165,0.043762846,,,,,,,,0.00086031,,
194310,-0.029723758,-0.017969341,-0.007383811,0.010067165,-0.033171154,,,,,,,,0.000534116,,
194311,-0.149446758,-0.062692341,-0.084349811,-0.115052835,-0.150546154,,,,,,,,0.009369167,,
194312,0.092975242,0.045129659,0.095819189,0.121504165,0.101594846,,,,,,,,0.004195941,,
194401,0.057373242,0.055469659,0.038341189,0.016578165,0.067298846,,,,,,,,0.003182474,,
194402,0.033507242,0.007725659,0.010052189,0.015560165,0.026951846,,,,,,,,0.000258866,,
194403,0.074201242,0.112186659,0.040534189,0.036943165,0.060332846,,,,,,,,0.008324389,,
194404,-0.062804758,-0.005293341,-0.041584811,-0.033834835,-0.053003154,,,,,,,,0.000332447,,
194405,0.066823242,0.022227659,0.106000189,0.049545165,0.072569846,,,,,,,,0.001485324,,
194406,0.247661242,0.135682659,0.098858189,0.135238165,0.149835846,,,,,,,,0.033603336,,
194407,-0.050547758,-0.032753341,-0.020332811,-0.004594835,-0.055286154,,,,,,,,0.001655608,,
194408,0.071186242,0.018008659,0.007651189,0.014638165,0.016730846,,,,,,,,0.001281969,,
194409,-0.031372758,0.016099659,0.017261189,-0.014503835,-0.020297154,,,,,,,,-0.000505091,,
194410,-0.010721758,0.004097659,-0.001166811,-0.010409835,-0.009861154,,,,,,,,-4.39E-05,,
194411,0.016812242,-0.017396341,0.016921189,0.035363165,0.000712846,,,,,,,,-0.000292471,,
194412,0.018099242,0.031000659,0.053260189,0.058949165,0.136589846,,,,,,,,0.000561088,,
194501,0.114662242,0.039347659,0.048511189,0.033809165,0.022280846,,,,,,,,0.004511691,,
194502,0.058033242,0.040458659,0.082473189,0.064027165,0.098150846,,,,,,,,0.002347947,,
194503,-0.088523758,-0.090048341,-0.104256811,-0.096400835,-0.134306154,,,,,,,,0.007971418,,
194504,0.023923242,0.080960659,0.084246189,0.072617165,0.069059846,,,,,,,,0.001936841,,
194505,0.014765242,0.083741659,0.024861189,0.014440165,0.045635846,,,,,,,,0.001236466,,
